danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Song,Artist
0.283,0.716,1,-9.632,0,0.0986,0.447,0.0,0.399,0.828,201.96,audio_features,3Um9toULmYFGCpvaIPFw7l,spotify:track:3Um9toULmYFGCpvaIPFw7l,https://api.spotify.com/v1/tracks/3Um9toULmYFGCpvaIPFw7l,https://api.spotify.com/v1/audio-analysis/3Um9toULmYFGCpvaIPFw7l,233000,4,What's Going On,Marvin Gaye
0.719,0.444,7,-11.785,1,0.0952,0.2,0.0,0.0982,0.907,97.136,audio_features,6eDwkS4IHADqk06ssrqfUX,spotify:track:6eDwkS4IHADqk06ssrqfUX,https://api.spotify.com/v1/tracks/6eDwkS4IHADqk06ssrqfUX,https://api.spotify.com/v1/audio-analysis/6eDwkS4IHADqk06ssrqfUX,144360,4,Blister In The Sun,Violent Femmes
0.654,0.39,6,-10.638,0,0.0307,0.00418,0.0069,0.271,0.566,116.572,audio_features,6BT7qiDY4A5tOyklohjQuW,spotify:track:6BT7qiDY4A5tOyklohjQuW,https://api.spotify.com/v1/tracks/6BT7qiDY4A5tOyklohjQuW,https://api.spotify.com/v1/audio-analysis/6BT7qiDY4A5tOyklohjQuW,175333,4,Monkey Gone to Heaven,Pixies
0.251,0.848,5,-6.501,1,0.0579,0.0377,0.00591,0.0545,0.207,163.709,audio_features,6LgJvl0Xdtc73RJ1mmpotq,spotify:track:6LgJvl0Xdtc73RJ1mmpotq,https://api.spotify.com/v1/tracks/6LgJvl0Xdtc73RJ1mmpotq,https://api.spotify.com/v1/audio-analysis/6LgJvl0Xdtc73RJ1mmpotq,387213,4,Paranoid Android,Radiohead
0.619,0.22,0,-13.843,1,0.0672,0.782,1.19e-05,0.124,0.426,75.143,audio_features,3M8FzayQWtkvOhqMn2V4T2,spotify:track:3M8FzayQWtkvOhqMn2V4T2,https://api.spotify.com/v1/tracks/3M8FzayQWtkvOhqMn2V4T2,https://api.spotify.com/v1/audio-analysis/3M8FzayQWtkvOhqMn2V4T2,258835,4,Lean on Me,Bill Withers
0.768,0.497,7,-9.211,1,0.0429,0.0928,0.0,0.157,0.778,113.845,audio_features,6JumfGk4f9E5KLT086I75s,spotify:track:6JumfGk4f9E5KLT086I75s,https://api.spotify.com/v1/tracks/6JumfGk4f9E5KLT086I75s,https://api.spotify.com/v1/audio-analysis/6JumfGk4f9E5KLT086I75s,203760,4,Harlem,Bill Withers
0.708,0.662,7,-12.385,1,0.0314,0.0371,0.000666,0.0745,0.874,103.476,audio_features,5dmlMfZajWNbUskAg9CN3V,spotify:track:5dmlMfZajWNbUskAg9CN3V,https://api.spotify.com/v1/tracks/5dmlMfZajWNbUskAg9CN3V,https://api.spotify.com/v1/audio-analysis/5dmlMfZajWNbUskAg9CN3V,195467,4,Little Green Bag,George Baker Selection
0.537,0.404,2,-11.901,1,0.0292,0.379,2.8e-06,0.234,0.378,84.436,audio_features,2eHuQmecUoD8uSDRAHhAcs,spotify:track:2eHuQmecUoD8uSDRAHhAcs,https://api.spotify.com/v1/tracks/2eHuQmecUoD8uSDRAHhAcs,https://api.spotify.com/v1/audio-analysis/2eHuQmecUoD8uSDRAHhAcs,158107,4,Harvest Moon,Bedlam
0.476,0.585,11,-14.211,0,0.0478,0.107,1.43e-05,0.149,0.523,110.275,audio_features,2zyTP97uGsIc1C4KNNEkyn,spotify:track:2zyTP97uGsIc1C4KNNEkyn,https://api.spotify.com/v1/tracks/2zyTP97uGsIc1C4KNNEkyn,https://api.spotify.com/v1/audio-analysis/2zyTP97uGsIc1C4KNNEkyn,230507,4,Across 110th Street,Bobby Womack
0.553,0.871,9,-10.963,1,0.0952,0.207,0.766,0.322,0.631,135.728,audio_features,48jm3rEZ2gR6mlBDb5aq8k,spotify:track:48jm3rEZ2gR6mlBDb5aq8k,https://api.spotify.com/v1/tracks/48jm3rEZ2gR6mlBDb5aq8k,https://api.spotify.com/v1/audio-analysis/48jm3rEZ2gR6mlBDb5aq8k,147333,4,Bustin' Surfboards,The Tornadoes
